letter,folder,name,notes
A,A-Albverein,Albverein,
C,C-Gemischter_Chor,Gemischter Chor,
D,D-Dorffest,Dorffest,Dorfgemeinschaft
F,F-Film-Liga,Film-Liga,
G,G-Gemeinde,Gemeinde,
H,H-Hochzeiten,Hochzeiten,
K,K-Kirche,Kirche,
L,L-Ledige,Ledige,
M,M-Musikverein,Musikverein,
N,N-Narrenzunft,Narrenzunft,
P,P-Personen_und_Begebenheiten,Personen und Begebenheiten,
R,R-Fischerverein,Fischerverein,
S,S-Schuetzenverein,Schuetzenverein,
T,T-TSV,TSV,Skiclub
V,V-Ansichten,Ansichten,RumVi
W,W-Feuerwehr,Feuerwehr,
Z,Z-Kegler,Kegler,
